id,category,relative_path,source_path,extension,size_bytes,size_human,converted_exists,chunked_exists,status,indexed_at
243,Systems_Thinking,"Systems_Thinking/History_Politics/Slav/Everything Was Forever, Until It Was No More The Last Soviet Generation.epub","D:\Books\Systems_Thinking\History_Politics\Slav\Everything Was Forever, Until It Was No More The Last Soviet Generation.epub",.epub,5288117,5.0 MB,True,True,chunked,2026-03-20T15:19:38
244,Systems_Thinking,Systems_Thinking/History_Politics/Slav/Hubris The Origins of Russia's War Against Ukraine.epub,D:\Books\Systems_Thinking\History_Politics\Slav\Hubris The Origins of Russia's War Against Ukraine.epub,.epub,4803251,4.6 MB,True,True,chunked,2026-03-20T15:19:38
245,Systems_Thinking,Systems_Thinking/History_Politics/Slav/Paul D'Anieri - Ukraine and Russia. From Civilized Divorce to Uncivil War-Cambridge University Press (2023).pdf,D:\Books\Systems_Thinking\History_Politics\Slav\Paul D'Anieri - Ukraine and Russia. From Civilized Divorce to Uncivil War-Cambridge University Press (2023).pdf,.pdf,4289505,4.1 MB,True,False,converted,2026-03-20T15:19:38
246,Systems_Thinking,"Systems_Thinking/History_Politics/Slav/Russian, My Daily - Russian Grammar for Beginners Textbook.mobi","D:\Books\Systems_Thinking\History_Politics\Slav\Russian, My Daily - Russian Grammar for Beginners Textbook.mobi",.mobi,6328448,6.0 MB,False,False,pending,2026-03-20T15:19:38
247,Systems_Thinking,Systems_Thinking/History_Politics/Slav/The Invention of Russia.pdf,D:\Books\Systems_Thinking\History_Politics\Slav\The Invention of Russia.pdf,.pdf,19563367,18.7 MB,True,False,converted,2026-03-20T15:19:38
248,Systems_Thinking,"Systems_Thinking/History_Politics/Slav/The Soviet Experiment - Russia, the USSR, and the Successor States.pdf","D:\Books\Systems_Thinking\History_Politics\Slav\The Soviet Experiment - Russia, the USSR, and the Successor States.pdf",.pdf,10756626,10.3 MB,True,False,converted,2026-03-20T15:19:38
249,Systems_Thinking,Systems_Thinking/History_Politics/Slav/The Tragedy of Ukraine.pdf,D:\Books\Systems_Thinking\History_Politics\Slav\The Tragedy of Ukraine.pdf,.pdf,8892298,8.5 MB,True,False,converted,2026-03-20T15:19:38
250,Systems_Thinking,"Systems_Thinking/History_Politics/Slav/Vasily Grossman - A Writer at War A Soviet Journalist with the Red Army, 1941-1945.epub","D:\Books\Systems_Thinking\History_Politics\Slav\Vasily Grossman - A Writer at War A Soviet Journalist with the Red Army, 1941-1945.epub",.epub,1598773,1.5 MB,True,True,chunked,2026-03-20T15:19:38
251,Systems_Thinking,"Systems_Thinking/History_Politics/Slav/Wendy Z. Goldman, Donald Filtzer - Fortress Dark and Stern The Soviet Home Front during World War II-Oxford University Press (2021).epub","D:\Books\Systems_Thinking\History_Politics\Slav\Wendy Z. Goldman, Donald Filtzer - Fortress Dark and Stern The Soviet Home Front during World War II-Oxford University Press (2021).epub",.epub,16261021,15.5 MB,True,True,chunked,2026-03-20T15:19:38
231,Systems_Thinking,Systems_Thinking/History_Politics/The Shock Doctrine - The Rise of Disaster Capitalism.epub,D:\Books\Systems_Thinking\History_Politics\The Shock Doctrine - The Rise of Disaster Capitalism.epub,.epub,746152,728.7 KB,True,True,chunked,2026-03-20T15:19:38
232,Systems_Thinking,Systems_Thinking/History_Politics/The Society of the Spectacle.epub,D:\Books\Systems_Thinking\History_Politics\The Society of the Spectacle.epub,.epub,9180143,8.8 MB,True,True,chunked,2026-03-20T15:19:38
